HDI,1980,1990,2000,2005,2006,2007,2008,2009,2011
Abkhazia,,,,,,,,,
Afghanistan,0.198,0.246,0.23,0.34,0.354,0.363,0.37,0.387,0.398
Akrotiri and Dhekelia,,,,,,,,,
Albania,,0.656,0.691,0.721,0.724,0.729,0.733,0.734,0.739
Algeria,0.454,0.551,0.624,0.667,0.673,0.68,0.686,0.691,0.698
American Samoa,,,,,,,,,
Andorra,,,,,,,,,0.838
Angola,,,0.384,0.445,0.459,0.471,0.476,0.481,0.486
Anguilla,,,,,,,,,
Antigua and Barbuda,,,,,,,,,0.764
Argentina,0.669,0.697,0.749,0.765,0.773,0.78,0.786,0.788,0.797
Armenia,,,0.643,0.689,0.703,0.715,0.719,0.712,0.716
Aruba,,,,,,,,,
Australia,0.85,0.873,0.906,0.918,0.92,0.922,0.924,0.926,0.929
Austria,0.74,0.79,0.839,0.86,0.866,0.87,0.876,0.879,0.885
Azerbaijan,,,,,,,,,0.731
Bahamas,,,0.752,0.766,0.768,0.77,0.771,0.769,0.771
Bahrain,0.651,0.721,0.773,0.795,0.799,0.804,0.806,0.805,0.806
Bangladesh,0.303,0.352,0.422,0.462,0.47,0.478,0.484,0.491,0.5
Barbados,,,,0.787,0.79,0.791,0.792,0.79,0.793
Belarus,,,,0.723,0.731,0.738,0.744,0.746,0.756
Belgium,0.757,0.811,0.876,0.873,0.877,0.88,0.882,0.883,0.886
Belize,0.619,0.651,0.668,0.689,0.69,0.692,0.695,0.696,0.699
Benin,0.252,0.316,0.378,0.409,0.411,0.414,0.419,0.422,0.427
Bermuda,,,,,,,,,
Bhutan,,,,,,,,,0.522
Bolivia,0.507,0.56,0.612,0.649,0.65,0.645,0.651,0.656,0.663
Bosnia and Herzegovina,,,,0.717,0.72,0.725,0.73,0.73,0.733
Botswana,0.446,0.594,0.585,0.601,0.611,0.618,0.624,0.626,0.633
Brazil,0.549,0.6,0.665,0.692,0.695,0.7,0.705,0.708,0.718
British Virgin Islands,,,,,,,,,
Brunei,0.75,0.784,0.818,0.83,0.834,0.835,0.834,0.835,0.838
Bulgaria,,0.698,0.715,0.749,0.753,0.758,0.765,0.766,0.771
Burkina Faso,,,,0.302,0.307,0.313,0.321,0.326,0.331
Burundi,0.2,0.25,0.245,0.267,0.281,0.289,0.301,0.308,0.316
Cambodia,,,0.438,0.491,0.501,0.508,0.513,0.513,0.523
Cameroon,0.37,0.427,0.427,0.449,0.451,0.459,0.466,0.475,0.482
Canada,0.817,0.857,0.879,0.892,0.897,0.9,0.903,0.903,0.908
Cape Verde,,,0.523,0.543,0.555,0.56,0.563,0.564,0.568
Cayman Islands,,,,,,,,,
Central African Republic,0.283,0.31,0.306,0.311,0.316,0.323,0.327,0.334,0.343
Chad,,,0.286,0.312,0.311,0.313,0.316,0.323,0.328
Channel Islands,,,,,,,,,
Chile,0.63,0.698,0.749,0.779,0.78,0.789,0.796,0.798,0.805
China,0.404,0.49,0.588,0.633,0.644,0.656,0.665,0.674,0.687
Christmas Island,,,,,,,,,
Cocos Island,,,,,,,,,
Colombia,0.55,0.594,0.652,0.675,0.683,0.691,0.697,0.702,0.71
Comoros,,,,0.428,0.428,0.428,0.429,0.43,0.433
"Congo, Dem. Rep.",0.282,0.289,0.224,0.26,0.266,0.271,0.27,0.277,0.286
"Congo, Rep.",0.465,0.502,0.478,0.506,0.51,0.512,0.52,0.523,0.533
Cook Is,,,,,,,,,
Costa Rica,0.614,0.656,0.703,0.723,0.729,0.735,0.737,0.738,0.744
Cote d'Ivoire,0.347,0.361,0.374,0.383,0.385,0.388,0.392,0.397,0.4
Croatia,,,0.748,0.78,0.785,0.791,0.795,0.793,0.796
Cuba,,0.677,0.681,0.725,0.745,0.759,0.767,0.77,0.776
Cyprus,,0.747,0.8,0.809,0.814,0.819,0.827,0.837,0.84
Czech Republic,,,0.816,0.854,0.858,0.861,0.864,0.863,0.865
Czechoslovakia,,,,,,,,,
