Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,"Population, total",SP.POP.TOTL,54211,55438,56225,56695,57032,57360,57715,58055,58386,58726,59063,59440,59840,60243,60528,60657,60586,60366,60103,59980,60096,60567,61345,62201,62836,63026,62644,61833,61079,61032,62149,64622,68235,72504,76700,80324,83200,85451,87277,89005,90853,92898,94992,97017,98737,100031,100832,101220,101353,101453,101669,102053,102577,103187,103795,104341,104822
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8996351,9166764,9345868,9533954,9731361,9938414,10152331,10372630,10604346,10854428,11126123,11417825,11721940,12027822,12321541,12590286,12840299,13067538,13237734,13306695,13248370,13053954,12749645,12389269,12047115,11783050,11601041,11502761,11540888,11777609,12249114,12993657,13981231,15095099,16172719,17099541,17822884,18381605,18863999,19403676,20093756,20966463,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032
Angola,AGO,"Population, total",SP.POP.TOTL,5643182,5753024,5866061,5980417,6093321,6203299,6309770,6414995,6523791,6642632,6776381,6927269,7094834,7277960,7474338,7682479,7900997,8130988,8376147,8641521,8929900,9244507,9582156,9931562,10277321,10609042,10921037,11218268,11513968,11827237,12171441,12553446,12968345,13403734,13841301,14268994,14682284,15088981,15504318,15949766,16440924,16983266,17572649,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101
Andorra,AND,"Population, total",SP.POP.TOTL,13411,14375,15370,16412,17469,18549,19647,20758,21890,23058,24276,25559,26892,28232,29520,30705,31777,32771,33737,34818,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80991,82683,83861,84462,84449,83751,82431,80788,79223,78014,77281
UAE,ARE,"Population, total",SP.POP.TOTL,92634,101078,112472,125566,138529,150362,160481,170283,183194,203820,235499,278808,332760,397174,471364,554324,646943,748117,852262,952040,1042384,1120900,1189545,1253060,1318478,1391052,1472218,1560718,1655849,1756043,1860174,1970026,2086639,2207405,2328686,2448820,2571020,2700010,2838145,2988162,3154925,3326032,3507232,3741932,4087931,4579562,5242032,6044067,6894278,7666393,8270684,8672475,8900453,9006263,9070867,9154302,9269612
Argentina,ARG,"Population, total",SP.POP.TOTL,20619075,20953077,21287682,21621840,21953929,22283390,22608748,22932203,23261278,23605987,23973058,24366439,24782949,25213388,25644506,26066975,26477152,26878565,27277741,27684534,28105888,28543364,28993987,29454738,29920904,30388783,30857244,31326473,31795517,32263561,32729739,33193918,33655151,34110917,34558115,34994814,35419682,35833969,36241590,36648068,37057452,37471509,37889370,38309379,38728696,39145488,39558890,39970224,40382389,40799407,41223889,41656879,42096739,42539925,42981515,43417765,43847430
Armenia,ARM,"Population, total",SP.POP.TOTL,1874120,1941491,2009526,2077575,2144998,2211316,2276031,2339124,2401140,2462925,2525065,2587706,2650484,2712781,2773747,2832757,2889579,2944379,2997411,3049105,3099751,3148092,3193686,3238594,3285595,3335935,3392256,3451942,3504651,3536469,3538165,3505251,3442810,3363098,3283660,3217342,3168215,3133086,3108684,3089017,3069588,3050655,3033897,3017806,3000612,2981259,2958500,2933056,2908220,2888584,2877311,2875581,2881922,2893509,2906220,2916950,2924816
American Samoa,ASM,"Population, total",SP.POP.TOTL,20013,20486,21117,21882,22698,23520,24321,25116,25885,26614,27292,27916,28492,29014,29488,29932,30321,30689,31102,31673,32457,33493,34738,36160,37688,39241,40837,42450,44047,45593,47038,48375,49593,50720,51803,52868,53929,54941,55901,56770,57521,58175,58731,59117,59264,59118,58650,57903,57030,56227,55637,55320,55230,55307,55437,55537,55599
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,55339,56144,57144,58294,59524,60781,62059,63360,64655,65910,67098,68188,69176,70066,70878,71609,72285,72875,73324,73528,73442,73066,72448,71639,70725,69782,68809,67845,67058,66627,66696,67307,68427,69938,71719,73619,75628,77739,79851,81831,83584,85057,86266,87293,88257,89253,90301,91381,92478,93581,94661,95719,96777,97824,98875,99923,100963
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254,23117353,23460694,23789338,24127159
Austria,AUT,"Population, total",SP.POP.TOTL,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479375,8541575,8633169,8747358
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,3895396,4030320,4171425,4315128,4456689,4592610,4721525,4843870,4960235,5071930,5180025,5284532,5385267,5483084,5579077,5674137,5768724,5863134,5957929,6053645,6150738,6249320,6349558,6452076,6557585,6666455,6778633,6893500,7010036,7126891,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9762274
Burundi,BDI,"Population, total",SP.POP.TOTL,2786106,2839666,2893669,2949926,3010859,3077876,3152723,3234023,3316233,3391753,3455606,3505391,3544047,3578490,3618585,3671494,3739659,3821194,3913768,4013310,4116817,4223195,4333386,4448728,4571292,4702066,4841565,4987736,5135956,5280024,5415415,5542048,5661139,5771398,5871607,5962058,6041112,6112097,6186352,6278940,6400706,6555829,6741569,6953113,7182451,7423289,7675338,7939573,8212264,8489031,8766930,9043508,9319710,9600186,9891790,10199270,10524117
Belgium,BEL,"Population, total",SP.POP.TOTL,9153489,9183948,9220578,9289770,9378113,9463667,9527807,9580991,9618756,9646032,9655549,9673162,9711115,9741720,9772419,9800700,9818227,9830358,9839534,9848382,9859242,9858982,9856303,9855520,9855372,9858308,9861823,9870234,9901664,9937697,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11047744,11128246,11182817,11209057,11274196,11348159
Benin,BEN,"Population, total",SP.POP.TOTL,2431622,2465867,2502896,2542859,2585965,2632356,2682159,2735307,2791590,2850661,2912340,2976572,3043567,3113675,3187412,3265165,3347173,3433439,3523938,3618526,3717165,3820128,3927714,4039949,4156819,4278501,4404506,4535263,4672852,4820016,4978496,5149499,5331803,5521763,5714220,5905558,6094259,6281639,6470265,6664098,6865951,7076733,7295394,7520555,7750004,7982225,8216896,8454791,8696916,8944706,9199259,9460802,9729160,10004451,10286712,10575952,10872298
